cmd,nl
pstree | grep php,finds all php processes running in system.
"cat /etc/passwd | sed 's/^\([^:]*\):.*$/crontab -u \1 -l 2>\&1/' | grep -v ""no crontab for"" | sh",list all crons in the environment
find . -type d -empty,find all empty directories under current directory
yes | execute_command,"pass ""y"" to all the prompts for the command ""execute_command"""
split --help,"print the help message of command ""split"""
find /var/www -name *.gif -ctime +90 -ctime -180,find .gif files in /var/www and below that were last changed between 90 and 180 days ago
find $1 -name '* *',find all files/directories with space in their names under $1 directory
find . -type f | xargs | wc -c,count the number of characters in the list of regular files from the current directory tree
seq -s' ' $start $end,"print space separated list of numbers from ""$start"" to ""$end"""
find . -name new -print -exec cat {} \;,find all files named 'new' under current directory tree and display their contents
"find . -name ""filename including space"" -print0 | xargs -0 -I '{}' sh -c 'ls -aldF {} >> log.txt; rm -rdf {}'",find all the files in current folder which have spaces and save the long listing of these files to log file before deleting them
find / /usr -xdev -name document -print,find files/directories named 'document' in the entire filesystem and in the directory tree '/usr' even if it's in a different partition without traversing to other devices/partitions
alias ff=find . -name $1,"set alias ""ff"" for command ""find . -name $1"""
alias prettyjson='python -m json.tool',"set alias ""prettyjson"" for command 'python -m json.tool'"
chgrp -R my_group files,recursively changes group ownership of everything in 'files' to 'my_group'.
"sudo ln -s -f ""/usr/local/bin/findpdftext"" ""/usr/local/bin/fpt""","force create a symbolc link named ""/usr/local/bin/fpt"" to ""/usr/local/bin/findpdftext"""
"echo -ne ""Welcome $(whoami)!\n""",print a welcome message with the current user's user name
find . -exec grep -l foo {} +,"search the files from the current directory tree for ""foo"""
"find -name ""* *"" -type d | rename 's/ /_/g'",find all directories with space in their names under current directory and rename them by replacing all spaces with _
"find . -print0 | xargs -0 -l -i echo ""{}"";",list all files in the current directory tree including those that may contain spaces in their names
ps aux | less -S,"interactively page through a list of all processes running on the system - the arrow keys pan around, and the q key quits."
"find ""$DIR_TO_CLEAN"" -type f -mtime +$DAYS_TO_SAVE -print0 | awk -v RS='\0' -v ORS='\0' '{ print } END { print NR }' | xargs -0 rm",delete and count files in $dir_to_clean that are older than $days_to_save days
pwd | cut -f 1- -d\/ --output-delimiter=$'\n',list each subdirectory name composing the current working directory
tree -fi |grep -v \>,print a list of each file with the full path prefix in the current directory tree excluding symbolic links
"find . -name ""*.class"" -print0 | xargs -0 -n1 dirname | sort --unique","recursively prints all folders in a current folder that contain files like ""*.class""."
find -name *.bmp -type f -exec convert '{}' '{}'.jpg \;,find all *.bmp files in the current directory tree and convert them to the jpeg format
"find . -name ""*.pyc"" | xargs -I {} rm -v ""{}""","recursively removes all files like '*.pyc' in a current folder, printing info message about each action."
find . -type d -exec chmod 700 {} \;,find all directories under current directory and change their permission to 700
set -o allexport; source conf-file; set +o allexport,"interpret conf-file in the current shell, making all environment variables in this file available to future sub-processes."
find . -size 0k,search for empty files
"find . -type l -printf ""%Y %p\n"" | grep -w '^N'",list all broken symlinks excluding cyclic links under current directory
"find . -type f -name ""*.txt"" -print|xargs rm",remove all files with a txt extension under current directory
find /usr /home -name findme.txt -type f -print,find regular files named 'findme.txt' under '/usr' and '/home' directory tree
find . -mtime 0 -type f -ls,list all regular files in the current directory tree modified within the last 24 hours
find . -iname '*demo*' | grep -i sitesearch,"search for files with ""demo"" in their names and ""sitesearch"" in their path names"
ln -s target,"create a symbolc link in the current directory to ""target"""
find / -name core -group mycomp -print -exec rm -f {} \; >> mycompcore,"save the list of all the core files in the entire file system which belong to the group mycomp to the file ""mycompcore"" and delete them"
"read -p ""$*""","read a line from standard input into variable ""reply"" with prompt ""$*"""
"echo ""<line>"" | cut -d "";"" -f 2",print second field from semicolon-seprated line <line>.
"find . -name '*.jpg' -exec bash -c 'd=""${1%/*}""; mv ""$1"" ""$d/$d-${1##*/}""' - '{}' \;",rename all *.jpg files under current directory by appending parent directory name at the beginning of their names
find -print0 | xargs --null,list all files/directories under current directory ensuring white space safety
find . -print | grep '\.java',find all .java files  under current directory
find . -type f | xargs file,find all files under current directory and show their file information
"find . -name .git -prune -o -print | xargs grep ""string-to-search""","search all files in the current directory tree, except git files, for ""string-to-search"""
cd $(dirname $(dirname $(which perl)))/lib,"change directory to the ""lib"" directory located two parent directories above the path to command ""perl"""
"read -p ""> $line (Press Enter to continue)""","read a line from standard input into variable ""reply"" with prompt ""> $line (press enter to continue)"""
"find Folder1 -type f -regextype posix-extended \( ! -regex '.+\-[0-9]{2,4}x[0-9]{2,4}\.jpg' \) -print0 |  xargs -0 cp -p --target-directory=Folder2","find files not matching the posix extended regex '.+\-[0-9]{2,4}x[0-9]{2,4}\.jpg' in their paths under folder1 and copy them to folder2"
number=$(echo $filename | tr -cd '[[:digit:]]'),"save only the digits in ""$filename"" to variable ""number"""
find /home/www -type f -print0 | xargs -0 sed -i 's/subdomainA\.example\.com/subdomainB.example.com/g',find all regular files under /home/www and replace every occurrences of 'subdomaina.example.com' with 'subdomainb.example.com' in those files
"md5=$(echo ""$line""|md5sum)",calculate md5 checksum of $line and save to variable 'md5'
date +%Y-%m-%d:%H:%M:%S,get year-month-day hour:minute:second from date
find /home/ -mtime -1 \! -type d,display all the files in the home folder excluding directories which have been modified in the last 24 hours
find . -user daniel,find all files owned by the user daniel in the current directory and below.
find . -name headdump* >delete.txt,"find all file names in the current directory tree that begin with ""headdump"" and write them to file `delete.txt'"
read sh_lock_lastPID < $sh_lock_file,"read the first line of ""$sh_lock_file"" into variable ""sh_lock_lastpid"""
"tar --help | grep ""lbzip2\|plzip\|pigz""","get info about ""lbzip2\|plzip\|pigz"" from tar command"
find /home/peter -name *~ -print0 |xargs -0 rm,"remove all files whose names end with ""~"" in the /home/peter directory tree"
yum check-update | awk 'p; /Updated packages/ {p=1}',lists available updates for installed packages.
df -h |  awk '{print $1}',print list of file systems currently mounted.
mkdir -p directory{1..3}/subdirectory{1..3}/subsubdirectory{1..2},create intermediate directories as required directory{1..3} and subdirectory{1..3} and directories subsubdirectory1 and subsubdirectory2
find / -name arrow.jpg,find the file arrow.jpg in the entire file system
"find / -name ""process.txt""","search for the file ""process.txt"" in the entire file system"
who | grep $USER,"determine if user ""$user"" is logged in"
find -name \*.xml -print0 | xargs -0 -n 1 -P 3 bzip2,compresses all '*.xml' files under current directory with 'bzip2' utility.
ls -1 | grep -v ^$EXCLUDE | xargs -I{} mv {} $TARGET,"move all files and directories in the current directory to ""$target"" excluding files matching ""$exclude"""
paste -d ' ' file <(rev file),pair side-by-side content of the 'file' and its side-mirrored content
"find . -name ""*.java"" | wc -l",count the number of .java files in all folders rooted in the current folder
"find . -name ""*.txt"" -print0 | xargs -0 python hello.py",find all *.txt files/directories under current directory and execute the python script hello.py with all their paths as arguments
sudo chown -R `whoami` /usr/local,"recursively change ownership of ""/usr/local"" to the current user"
find /home/web-server/ -type f -name httpd.log,"find the file ""httpd.log"" in the folder /home/web-server/"
"echo ""$queue"" | xargs -I'{}' find {} -mindepth 1 -maxdepth 1 $*",find all files/directories in level 1 down the $queue directory with all positional parameters appended with the find command
ssh -i ./device_id.pem -p 2222 deviceuser@middle.example.org,"log in using key file ""./device_id.pem"" as user ""deviceuser"" on host ""middle.example.org"" and port 2222"
top -b -n1 -c  | grep -A 2 '^$',find the process currently taking the most cpu time.
find . -type f -exec scp {} hostname:/tmp/{} \;,"recursively copy all regular files below current directory to directory /tmp on hostname, connecting as ssh user matching current username on local host."
find /home -name Trash -exec ls -al {} \;,"list all files and directories in the /home directory tree whose names are ""trash"""
uname -r | sed 's/\([0-9]\+\.[0-9]\+\)\..*/\1/',"display only first and second dot-separated numbers of kernel version, ie. 4.4"
find . -name \*.php -type f -exec grep -Hn '$test' {} \+,search for files only that end with .php and look for the string $test inside those files
find $(mount -t smbfs | awk '{print $3}') -mount -type f -ls -execdir file {} \;,find all files on smbfs mounts and print its information and file type
find /usr/share/doc /usr/doc /usr/locale/doc -name instr.txt,"search directory trees /usr/share/doc, /usr/doc, and /usr/locale/doc for files named 'instr.txt'"
"find ""$source_dir"" -type f|egrep ""$input_file_type""",find all files under $source_dir that match the regex expanded by $input_file_type in their paths
find /etc -name hosts,find file `hosts'
find . -perm g=r -type f -exec ls -l {} \;,find and print detailed information about all regular files in your home directory and below that have only the group permission set
"md5=""$(md5sum ""${my_iso_file}"")""",calculate md5 sum of file ${my_iso_file} and save it to variable 'md5'
su - USER_FOOBAR -c /PATH/TO/MY_APP &,run script /path/to/my_app as user user_foobar in background
"find . -not \( -name .svn -prune -o -name .git -prune \) -type f -print0 | xargs -0 sed -i '' -E ""s/[[:space:]]*$//""",remove trailing white spaces from all files under current directory ignoring .git and .svn directories
"find -maxdepth 1 -name '*.sql' -print0 \; | xargs -0 sed -e 's/ , );/1,1);/g'  | mysql -D ootp","find all *.sql files in maximum 1 level down the current directory, process it with sed and then send the output to a mysql command"
find . -atime +6 -exec ll | more,find al the files which have been accesed in the last 6 days and display their details
"find . -type f -name ""postgis-2.0.0""",find all regular files named postgis-2.0.0 under current directory
find -print0,find all files/directories under current directory and append a null character at the end of each path
find . -name '*foo*' -exec ls -lah {} \;,list all files matching regular expression '*foo*' in a human-readable form
find /myfiles -atime +30 -exec rm {} \;,remove all files under /myfiles that were accessed more than 30 days ago
find . -samefile /path/to/file,find all hard links to file /path/to/file that exist under the current directory tree
find /home/peter -name no-such-thing* |xargs rm,"remove all files whose names begin with ""no-such-thing"" in the /home/peter directory tree"
"local pingResults=$(LANG=C ping -q -c10 ""$gateway"")","save the 10 ping results to ""$gateway"" in variable ""pingresults"""
true | sleep 10,executes 'sleep 10' in a subshell created by a pipeline of built-in function 'true'.
"tdir=""$(pwd)/$(mktemp -d)""","creates temporary folder, and saves current folder path   joined with created temporary folder path in 'tdir' variable."
find . -type f -exec grep -l 'string' {} \;,"search the current directory recursively for files containing ""string"""
ssh -fNR 1234:localhost:22 root@123.123.123.123,listen on port 1234 on root@123.123.123.123 and forward it to port 22 on localhost
sudo yum --disablerepo epel update openssl,updates 'openssl' packages without using of 'epel' repository.
chown amzadm.root  /usr/bin/aws,"change user to ""amzadm"" and group to ""root"" of ""/usr/bin/aws"""
comm -12 file1 file2,"print common lines in ""file1"" and ""file2"""
find . -name 'abc*' | sed 's/$/\tok/' | column -t,"find all files matching ""abc*"" in the current directory and append ""\tok"""
"find . -depth -name '* *' | while IFS= read -r f ; do mv -i ""$f"" ""$(dirname ""$f"")/$(basename ""$f""|tr ' ' _)"" ; done",find all files/directories with space in their names under current directory and rename them by replacing all spaces with _
find /data/bin/test -type d -mtime +10 -name '[0-9]*' -print | xargs rm -rf ;,"recursively delete, without prompting, directories under /data/bin/test, that are older than 10 days and where the name starts with a number"
getent group | cut -d: -f1 | sort,print sorted list of all group names known to the system.
chown user destination_dir,"change the owner of ""destination_dir"" to ""user"""
"df --output=target ""$path"" | tail -1",print mount point of the file system containing $path.
find /tmp -type f,search the /tmp/ directory recursively for regular files
"finger | awk -F""\t"" -v 'OFS=\t' '{ $4=""""; print $0}' | sed 's/\t\{2,\}/\t/'","delete the 4th tab separated column from the output of ""finger"""
find $@ -not -name ss,"search the directories given as arguments to the bash script for files whose name is not ""ss"""
find $DBA/$ORACLE_SID/bdump/*.trc -mtime -1 -print >> /tmp/trace_list.lst,save the list of all the trace files from the folder $dba/$oracle_sid/bdump/ which have been modified in the last 24 hours
chgrp -R git .git,recursively changes group ownership of everything within '.git' to 'git'.
find . -type f \( -iname “*.c” \) |grep -i “keyword”,"find all c source code files from the current directory tree that contain ""keyword"" in their pathnames, ignoring the case"
df . | awk '$3 ~ /[0-9]+/ { print $4 }',print amount of space available on the file system containg path to the current working directory.
ssh -i /path/to/ssh/secret/key $1 $2,"ssh into host ""$1"" using key file ""/path/to/ssh/secret/key"" and execute command ""$2"""
cat `/gnuwin32/bin/find.exe . -name *.php` | wc -l,"count the number of lines in all "".php"" files in the current directory tree using bash for windows"
find . -name testfile.txt,find all files/directories named 'testfile.txt' under current directory tree
"find . -type f -iname ""*.txt"" -print | xargs grep ""needle""","check all .txt files whether they contain ""needle"""
shopt -u -o history,unsets 'history' shell option.
find /usr/bin -type f -size -50c,find all regular files undee '/usr/bin' directoryt tree that are less than 50 bytes in size
cat log | tr -s [:blank:] |cut -d' ' -f 3-,replace all sequence of 'blank' characters in file 'log' with a single occurence of such symbol and print space-separated fields of each string but first two fields
"find . -name ""file*""","find files starting with the word ""file"" in the current directory tree"
"find /somepath -type f -iregex "".*\.(pdf\|tif\|tiff\|png\|jpg\|jpeg\|bmp\|pcx\|dcx)"" ! -name ""*_ocr.pdf"" -print0","find all regular files under and below /somepath that have extensions pdf, tif, tiff, png, jpg, jpeg, bmp, pcx, or dcx, ignoring the case and excluding ""*_ocr.pdf"" files"
"find . -iname ""Articles.jpg""",find and image in current folder (case insensitive search)
find /data/SpoolIn -name job.history -exec grep -l FAIL {} \+ | wc -l,count the number of files named 'job.history' under '/data/spoolin' directory tree that match 'fail' in their contents
find /mount/point -maxdepth 1 -type d | wc -l,count the number of all directories under directory '/mount/point' non-recursively
find / -size 20,display all the files in the file system which are smaller than 20 bytes
csvtopretty filename.csv | less -S,let the user page through 'filename.csv' with long lines chopped so they fit within the width of the screen/window.
od | cut -b 8- | xargs -n 1 | sort | uniq | wc -l,convert standard input into a dump of octal bytes without the first 8 bytes of address and count the unique results
find / -type f -name *.jpg  -exec cp {} . \;,find all *.jpg files and copy them to /
find $HOME -name '*.c' -print | xargs grep -l sprintf,find all '*.c' files under $home directory which context contains sprintf
readlink -f  /path/here/..,"print canonical filename of ""/path/here/.."""
find -name file1 | wc -l,count the number of files named `file1'
find . -name '*.clj' -exec grep -r resources {} \;,"find all the files ending with ""clj"" in the current folder and search for a pattern"
"su -c ""dbca -silent -createDatabase -templateName General_Purpose.dbc -gdbName qualidade -sysPassword password -systemPassword password -scriptDest /u01/app/oracle/oradata/qualidade -characterSet WE8ISO8859P1"" -s /bin/sh oracle","run a command ""dbca -silent -createdatabase -templatename general_purpose.dbc -gdbname qualidade -syspassword password -systempassword password -scriptdest /u01/app/oracle/oradata/qualidade -characterset we8iso8859p1"" with bash shell as user oracle"
find / -size +100M,search for files that are at least 100mb
find / -name “*.mp3” -atime +01 -type f,display all mp3 files in the file system which have not been accessed in the last 24 hours
"find . -name ""*.php"" -exec chmod 755 {} +",change the permission of all php files in current folder. plus symbol at the end is used to give multiple files as input to the chmod command
find /var/log/ -mtime +60 -type f -exec ls -l {} \;,display the long listing of all files in /var/log which were modified 60 days or more ago.
find / -name 'top???',find all the files in the entire file system that start with the word top and have 3 letters next to it.
"mount -o ro,loop,offset=$OFFSET -t auto $IMAGE /media/$DEST","mount a partition in ""$image"" with offset ""$offset"" to ""media/$dest"" as read only using a loop device"
find * -maxdepth 0 -name 'b' -prune -o -exec rm -rf {} \;,delete all files/directories taken by the glob pattern * except the ones with the name 'b'
"LGT_TEMP_FILE=""$(mktemp --suffix .cmd)""",creates temporary file with appended suffix '.cmd' and saves path to it in 'lgt_temp_file' variable.
IP=$(dig +short myip.opendns.com @resolver1.opendns.com),look up for 'myip.opendns.com' in server 'resolver1.opendns.com' and save the terse output in 'ip' variable
find /etc -type d -print,display all directories in a folder
"find . -type f -exec grep ""/usr/bin/perl"" {} \; -ls",search for '/usr/bin/perl' in all regular files under current dirctory tree and also show a long listing of them
"find /home -type f -name ""*.ext"" -exec sed -i -e ""s/\x0D$//g"" {} \;","remove the ""^m"" characters from all *.ext files under /home directory"
history | cut -d' ' -f4- | sed 's/^ \(.*$\)/\1/g',print the output of history without line numbers
"find ""$DIR_TO_CLEAN"" -mtime +$DAYS_TO_SAVE -exec rm {} \;",delete files in $dir_to_clean older than $days_to_save days
find /home -type f -size +10485760c -print,looks for all files larger than 10 megabytes (10485760 bytes) within /home
"cat files | sort -t- -k2,2 -n","numberically sort content of file 'files', using for sorting part of second one of dash separated fields beginning from second letter."
read line,"read a single line from standard input and save to variable ""line"""
screen -S 'name' 'application',assign a name when starting a screen session
find . -name '*.txt' -exec grep 'sometext' '{}' \; -print,search for 'sometext' in all the files with '.txt' extension under current directory tree and also print the filenames
"find ""/tmp/1"" -iname ""*.txt""",display all text files in the folder /tmp/1
zcat input.gz | ./myscript.pl,"send uncompressed contents of ""input.gz"" to ""./myscript.pl"""
"file=`basename ""$1""`","set variable 'file' to the base name of first argument to script or function, that is the part following the last slash."
find . -name '*.foo' -exec cat {} +,find all *.foo files under current directory and print their contents
md5sum * | sed -e 's/\([^ ]*\) \(.*\(\..*\)\)$/mv -v \2 \1\3/e',rename all files in the current directory to the md5 sum followed by the extension and print the conversions
find /mnt/raid/upload -mtime +5 -print,search the /mnt/raid/upload directory tree for files that have not been modified within the last 5 days
find / -size +100M -exec rm -rf {} \;,find all 100mb files in file system and delete them using rm command
bash | tee /var/log/bash.out.log,"copy the standard output of a ""bash"" session to ""/var/log/bash.out.log"""
find ~/ -newer alldata.tar -exec tar uvf alldata.tar {} ;,"update the archived copy of the home directory, ""alldata.tar"""
find /tmp -maxdepth 2 -mindepth 1 -type d,find all directories in maximum 2 levels down the /tmp directory
"find / -regex "".*\.\(xls\|csv\)""",display a long listing of all the xls or csv files in the entire file system
nslookup `hostname`,dns lookup of the current host
"awk 'NR==16224, NR==16482-1; NR==16482 {print; exit}' file","output lines 16224 to 16482 of 'file', and stop reading 'file' after line 16482."
"find var/log/ -iname ""anaconda.*"" -exec tar -rvf file.tar {} \;",search for files/directories with the case insensitive pattern anaconda.* in var/log directory and create an archive (file.tar) of all the files found
find . -type f -print0 | xargs -0 -e grep -nH -e MySearchStr,"search the word ""mysearchstr"" in all the regular/normal files in the current folder and display the line number and the file name"
DIR='find $HOME -type d -name $1 | head 1',search for a directory in a folder taking name as argument and assign the first instance of it to a variable
"find `pwd` -name ""*rc.conf""  -execdir /bin/chmod o+r {} \;","search the current directory for *rc.conf files and grant ""other"" users read permission"
find /home -xdev -inum 2655341,search for all files in the /home directory tree that have the same inode number
find /mount/point -type d | wc -l,display the count of all the directories present in a folder
find . -type f -mtime -7 | xargs tar -cvf `date '+%d%m%Y'_archive.tar`,find files that were modified less than 7 days ago and archive them
find -name '*FooBar*' -print0 | xargs -0 cp -t ~/foo/bar,copies all files under current directory like '*foobar*' to the '~/foo/bar' directory.
head -1 <(sort set),"print the first line of output after alphabetically sorting the file ""set"""
rsync_src=`mktemp -d -p $mnt_dir`,creates temporary folder within a $mnt_dir folder and saves path to it in a 'rsync_src' variable.
"find . -name ""*.ext""","find files recursively with extension ""ext"""
find . -name 'CVS' -type d -exec rm -rf {} \;,remove all cvs directories from the current directory tree
alias :='xargs -I{}',"set alias "":"" for command 'xargs -i{}'"
set | grep -oP '^\w*(?==)' | grep X,"list environment variables whose name contains ""x"""
find / -nouser,find files owned by no user
"cd ""`pwd -P`""","resolve any symlinks in working directory, and go to resulting pathname."
diff -qr dir_one dir_two | sort,"print summary of new/missing files, and which files differ between dir_one and dir_two, sorted alphabetically."
is_nullglob=$( shopt -s | egrep -i '*nullglob' ),"check if 'nullglob' shell option is enabled, and if so, saves its status in 'is_nullglob' variable."
"while true ; do nc -l -p 1500 -c 'echo -e ""HTTP/1.1 200 OK\n\n $(date)""'; done",serves minimal http response with netcat
grep -n 'something' HUGEFILE | head -n 1,searches for 'something' in a large file and prints the matching line
find -P . -lname '*/test*',search the current directory tree for symbolic links to files matching pattern '*/test*'
find . -type f -mtime -2 -exec echo {} +,print the list of regular files from the current directory tree that were modified less than 2 days ago
find . -name '*.zip' | xargs -n1 unzip,unzip all *.zip files under current directory
find / -name foo.bar -print 2>/dev/null,"find a file ""foo.bar"" without showing ""permission denied"" messages"
"date -d @$(git log -n1 --format=""%at"") +%Y%m%d%H%M",prints git log message with a custom time format string
find /var/www/*.php -type f -exec rm {} \;,remove all .php files in the /var/www/ directory
find . -name \*.xml -print0 | cpio -pamvd0 /new/parent/dir,"copy all "".xml"" files in the current directory tree to ""/new/parent/dir"" preserving the directory hierarchy"
sudo  find /var/www/html/ -type f -exec chmod 664 {} \;,"change every file under ""/var/www/html/"" to have permissions 664"
find . -perm 777  -mtime 0 -print,display all the files in the current folder which have the permissions 777 and which have been modified in the last 24 hours.
find /students -type l -print 2> /dev/null |wc -l,count the number of symbolic links starting from /students
"find . -type f \( -name ""*.conf"" -or -name ""*.txt"" \) -print",search the current directory tree for *.conf and *.txt files
"var=`hg st -R ""$path"" | sed -e 's/  *$//'`","remove trailing spaces from the output of 'hg st -r ""$path""' and save the result in variable ""var"""
"perl -e '@T=localtime(time-86400);printf(""%02d/%02d/%04d"",$T[3],$T[4]+1,$T[5]+1900)' | read dt","save yesterday's date into variable ""dt"" using perl"
find . -perm 0644 | head,find all 0644 permission files/directories under current directory tree and show only the first 10 of them
"x=$(grep ""$(dirname ""$path"")"" file)","finds all strings with parent folder of path '$path' in 'file', and saves result in 'x' variable."
uname_m=`uname -m`,"set variable ""uname_m"" to machine architecture, ie. x86_64"
find . -name \*.php -type f -print0 | xargs -0 -n1 php -l,perform syntax check on all php files in the current directory tree
find . -iname '.note' | sort -r,"list all file paths under the current directory with case insensitive name "".note"" in reverse alphabetic order"
find . -name 'file_name.extension' -print | cpio -pavd /path/to/receiving/folder,"copy all files matching ""file_name.extension"" to ""/path/to/receiving/folder"" preserving directory hierarchy"
find aaa/ -maxdepth 1 -type f,"find all regular files in the ""aaa"" directory"
find . -name nameoffile -print | cpio -iv > /dev/fd0,find all instances of a file in the current folder and create a backup of it in the floppy
"find /home -type f -name ""*.ext"" -print0 | while read -r -d ""$(printf ""\000"")"" -r path; do cat $path | tr -d '\r' > $path""_new""; done","remove the ""^m"" characters from all *.ext files under /home directory and save the results to new files with _new appended in their names"
ifconfig en0 | grep inet | grep -v inet6 | awk '{print $2}',finds ip address of 'en0' network interface.
find / -wholename  '/proc' -prune  -o  -type f -perm -0002 -exec ls -l {} \;,find all files on the system that are world writable
find . -newer disk.log -print,find all the files in the current folder which have been modified after the file disk.log
find /mydir -type f -exec sed -i 's/<string1>/<string2>/g' {} +,find all files in  /mydir  and replace every occurrences of <string1> with <string2> in those files invoking sed as few times as possible
"find . -name ""*.xml"" -exec sh -c 'echo ""cp $0 someWhereElse/$0""' {} \;",search for all xml files in current folder and display the copy command to copy them to another folder
ssh -S my-ctrl-socket -O exit jm@sampledomain.com,"close the master ssh control socket ""my-ctrl-socket"" to ""jm@sampledomain.com"""
find . -mmin -60 -ls,list all files from the current directory tree that were modified less than 60 minutes ago
find . -name 'spam-*' | xargs rm,forcefully delete all files in the current directory that begin with spam-
"find . -type f -print -exec sh -c ""readelf -s {} | grep mysymbol"" \;",print the path to all *.so files under current directory and search for mysymbol in their symbol tables
rsync -u src dest,"copy ""src"" to ""dest"" if ""src"" is newer than ""dest"""
find $HOME  -mtime 0,search for files in your home directory which have been modified in the last twenty-four hours
sudo su,get the root access
"find . -type f -name ""*.txt"" ! -name README.txt -print",find all .txt files except readme.txt
popd,pops the top directory of dirs stack and changes to it.
find / -name foo.txt -type f -print,find regular file named foo.txt under root / directory.
find /home/nobody/public_html -type d -exec chmod 755 {} \;,"change the permissions of all the directories to 755 in the folder ""/home/nobody/public_html"""
bzip2 -dc archive.tbz | tar xvf - filename,extracts single file 'filename' from bzip2-compressed tarball archive.tbz.
"watch -tdn0.5 ps -mo pid,tid,%cpu,psr -p \`pgrep BINARY-NAME\`","execute ""ps -mo pid,tid,%cpu,psr -p \`pgrep binary-name\`"" every half second displayed with no title and highlighting the differences"
find 'my key phrase',find all files/directories under 'my key phrase' directory
x=$(ifconfig eth0) && x=${x#*HWaddr } && echo ${x%% *},gets mac address of 'eth0' network interface.
find . -ctime 0 -type f,find all the files that have been changed today
"dir=""`echo $dir | sed s,//,/,g`""","collapse double slashes in variable ""dir"" into a single one."
"find / -name  ""*.txt"" -mount 2> /dev/null",find all *.txt files except for those on other file systems
find . -group 10 -perm -2000 -print,find all files that are set group id to 10
ping -c 5 -q $host | grep -oP '\d+(?=% packet loss)',"print the percentage of packets lost of the 5 packets sent to ""$host"""
du | awk '{print $2}',print paths to all subdirectories inside of a directory
"find . -type f -regex "".*src/main.*\.scala$""","display all scala files in the directory ""src/main"""
watch ls,"execute ""ls"" every 2 seconds"
"find ! -path ""dir1"" -iname ""*.mp3""",exclude directory from find . command
"find /media/shared \( -iname ""*.mp3"" -o -iname ""*.ogg"" \)",search the /media/shared directory recursively for mp3 and ogg files
yes | head -3,"print 3 newline separated ""y""s"
find . -name '*.java' | xargs vim,open all .java files in the current directory tree in the vim editor
ln -s $file `basename $file`,"create a symbolic link named the basename of ""$file"" to ""$file"""
crontab -l | sed '/# *\([^ ][^ ]*  *\)\{5\}[^ ]*test\.sh/s/^# *//' | crontab -,"uncomment every entry in current user's cron job list which contains ""test.sh"""
yes $1 | head -$number,"print argument ""$1"" ""$number"" times"
cat xx.sh,"print the contents of ""xx.sh"""
uname -r | cut -d. -f1-2,"display only first and second dot-separated numbers of kernel version, ie. 4.4"
find $dir -mtime -3,find all files/directories under $dir directory tree which have been modified in the last 3 days
"find . -name ""*1"" -exec grep ""1"" {} \;","search all files in the current directory tree whose names end in ""1"" for string ""1"""
"mkdir $(printf ""$HOME/Labs/lab4a/folder%03g "" {0..3})","make 3 directories named ""~/labs/lab4a/folder"" followed by a 3 width zero padded number from 0 to 3"
"read -r -d $'\0' content <<< ""${some_variable}""","read the contents of ""${some_variable}"" until a null character is found and save the result in variable ""content"""
find . -type d –iname stat*,find all directories that start with stat
find $INPUT_LOCATION -name '*.pdf.marker' | xargs -i bash -c 'mv ${0%.marker} $0 $1' {} $OUTPUT_LOCATION,move all *.pdf.marker files and their corresponding *.pdf files under ${input_location} to ${output_location}
rsync -avh /home/abc/* /mnt/windowsabc,"archive ""/home/abc/*"" to ""/mnt/windowsabc"" with human readable output"
find . -name \*.sql,search the current directory and directories below for .sql files
"find . -name \*.xml | while read i; do grep '<?xml' ""$i"" >/dev/null; [ $? == 0 ] && echo $i; done","find all *.xml files under current directory, search for '<?xml' in those files and print the paths of the matched files."
find $LOGDIR -type d -mtime +5 -exec rm -rf {} \;,delete all directories found in $logdir that are more than a work-week old
find /dump -type f -name '*.xml' | parallel -j8 java -jar ProcessFile.jar {},find all the xml files in a directory and pass it as an argument to a jar (parallel is used to achieve parallel processing)
"find . -mmin -720 -mmin +60 -type f -name ""t*"" -exec ls -l '{}' \;",find all the files in the current directory which start with t and have been modified between one hour (60 minutes) and 12 hours (720 minutes) ago.
"find . -type f -name ""*.java"" | xargs tar cvf myfile.tar",create a tar archive with all *.java files under the current directory
find |wc -l,find all files/directories under current directory and count the number of lines for the output
"date --date=""222 days ago"" +""%Y""",prints what year it was 222 days ago
find . -name abc -or -type d,"search for the file ""abc"" in the current folder or display all the directories"
"mkdir -p folder$( seq -s ""/folder"" 999 )1000","create 998 directories one inside another with sequential names folder1, folder2, ... folder998 and create an additional folder named 'folder9991000' inside the last 'folder998' directory"
find /myfiles -size 5,find all files/directories under /myfiles that are 2560 bytes in size
{ time find / &>/dev/null; } 2>&1 | grep real,redirects output of 'time' built-in function and prints only real-time statistic.
echo '1/2 [3] (27/03/2012 19:32:54) word word word word 4/5' | sed -e 's/(.*)//' -e 's/[^0-9]/ /g' | column -t,"remove everything within parentheses and substitute all non digit characters with a space from ""1/2 [3] (27/03/2012 19:32:54) word word word word 4/5"" and format the output as a table"
tmux show-options -g,show global windows options.
ls -1 | tail -n +N | head -n1,prints the nth line of output from 'ls -1'
find . -perm 644 -type f -exec ls -l {} \;,find regular files which have 644 permission
"join -t, -a1 -a2 <(sort file1) <(sort file2)","join comma-separated data in file1 and file2, including extra non-matching information in both files."
watch bash -c your_script,"execute ""bash -c your_script"" every 2 seconds"
